timestamp,NIR_proxy_broad
55.2823,46.38
55.3120,46.37
55.3460,46.37
55.3802,46.37
55.4412,46.38
55.4714,46.31
55.5072,46.29
55.5417,46.30
55.5755,46.33
55.6068,46.41
55.6486,46.36
55.6868,46.40
55.7207,46.43
55.7512,46.42
55.7818,46.42
55.8507,46.38
55.9000,46.39
55.9411,46.34
55.9729,46.35
56.0047,46.36
56.0408,46.31
56.0776,46.33
56.1142,46.31
56.1478,46.30
56.1780,46.29
56.2086,46.31
56.2408,46.33
56.2791,46.29
56.3139,46.30
56.3522,46.34
56.4098,46.40
56.4517,46.37
56.4886,46.37
56.5221,46.41
56.5544,46.41
56.6186,46.31
56.6521,46.30
56.6872,46.33
56.7210,46.28
56.7565,46.26
56.8109,46.23
56.8520,46.25
56.8905,46.26
56.9225,46.21
56.9583,46.22
57.0081,46.18
57.0496,46.17
57.0880,46.16
57.1219,46.14
57.1578,46.14
57.1890,46.15
57.2524,46.10
57.2889,46.13
57.3228,46.18
57.3582,46.17
57.3965,46.18
57.4538,46.14
57.4977,46.10
57.5386,46.08
57.5694,46.08
57.6039,46.07
57.6384,46.08
57.6741,46.10
57.7077,46.08
57.7433,46.07
57.7735,46.05
57.8089,46.06
57.8451,46.05
57.8803,46.10
57.9201,46.12
57.9554,46.11
57.9873,46.14
58.0526,46.17
58.0894,46.16
58.1249,46.20
58.1617,46.15
58.2141,46.13
58.2528,46.11
58.2868,46.08
58.3227,46.16
58.3553,46.21
58.3854,46.22
58.4131,46.15
58.4534,46.14
58.4897,46.17
58.5232,46.16
58.5566,46.17
58.5904,46.17
58.6544,46.19
58.6893,46.17
58.7236,46.20
58.7592,46.19
58.7892,46.20
58.8558,46.15
58.8884,46.16
58.9219,46.13
58.9569,46.17
58.9881,46.15
59.0511,46.12
59.0889,46.14
59.1235,46.15
59.1576,46.15
59.1909,46.14
59.2550,46.09
59.2911,46.13
59.3231,46.11
59.3574,46.14
59.3888,46.17
59.4545,46.16
59.4892,46.14
59.5228,46.15
59.5575,46.14
59.5917,46.14
59.6493,46.10
59.6821,46.12
59.7137,46.19
59.7523,46.11
59.7877,46.14
59.8549,46.12
59.8893,46.14
59.9245,46.15
59.9578,46.11
59.9932,46.09
60.0548,46.12
60.0895,46.10
60.1222,46.12
60.1564,46.15
60.1897,46.15
60.2539,46.13
60.2894,46.10
60.3215,46.12
60.3560,46.17
60.3890,46.16
60.4503,46.15
60.4870,46.12
60.5226,46.13
60.5558,46.12
60.5899,46.22
60.6546,47.07
60.6911,46.98
60.7239,46.33
60.7592,39.90
60.7891,44.73
60.8575,44.06
60.9009,20.89
60.9440,15.34
60.9767,11.04
61.0095,7.74
61.0422,5.69
61.0778,5.35
61.1212,5.35
61.1545,5.42
61.1868,5.38
61.2527,5.57
61.2881,5.46
61.3242,5.47
61.3574,5.45
61.3873,5.38
61.4488,5.49
61.4885,5.52
61.5263,5.56
61.5575,5.58
61.5901,5.62
61.6553,5.57
61.6923,5.53
61.7259,5.54
61.7604,5.57
61.7916,5.56
61.8541,5.60
61.8910,5.60
61.9246,5.60
61.9590,5.64
61.9895,5.63
62.0522,5.60
62.0832,5.60
62.1168,5.61
